,Date,Team,Name,DL_length,team_id,player_id
5967,20070904, Dodgers,Hung-Chih Kuo,60,LAN,
5969,20070904, Giants,Merkin Valdez,60,SFN,valdm003
5970,20070904, Mariners,Chris Reitsma,60,SEA,reitc001
5971,20070904, Orioles,Chris Ray (Thomas),60,BAL,
5972,20070904, Phillies,Ryan Madson,60,PHI,madsr001
5973,20070904, Rangers,Willie Eyre,60,TEX,eyrew001
5974,20070904, Rockies,Jason Hirsh,60,COL,hirsj001
5975,20070904, Royals,Reggie Sanders (Laverne),60,KCA,
5977,20070905, Cardinals,Scott Rolen,60,SLN,roles001
5978,20070905, Rangers,Akinori Otsuka,60,TEX,otsua001
5982,20070907, Athletics,Travis Buck,60,OAK,buckt001
5984,20070907, Giants,Vinnie Chulk,60,SFN,chulv001
5988,20070908, Rockies,Ramon Ramirez (Emilio),60,COL,
5991,20070909, Orioles,Erik Bedard,60,BAL,bedae001
5994,20070909, Twins,Jose Morales (b),60,MIN,
5995,20070909, Yankees,George Phillips,60,NYA,
5997,20070910, Athletics,Mark Kotsay,60,OAK,kotsm001
5998,20070910, Devil Rays,Ben Zobrist,60,TBA,zobrb001
6000,20070911, Pirates,Ryan Doumit,60,PIT,doumr001
6009,20070912, Marlins,Aaron Boone,60,MIA,boona001
6012,20070914, Blue Jays,Troy Glaus,60,TOR,glaut001
6015,20070915, Athletics,Bobby Crosby,60,OAK,crosb002
6017,20070915, Nationals,Micah Bowie,60,WAS,bowim001
6021,20070916, Rockies,Aaron Cook (Lane),60,COL,
6026,20070921, Mets,Jason Vargas,60,NYN,vargj001
6028,20070921, Royals,Odalis Perez,60,KCA,pereo001
6029,20070922, Blue Jays,Vernon Wells,60,TOR,wellv001
6030,20070924, Phillies,Yoel Hernandez,60,PHI,herny001
6031,20070925, Padres,Clay Hensley,60,SDN,hensc002
6032,20070926, Reds,Ryan Freel,60,CIN,freer001
6034,20070927, Reds,Bobby Livingston,60,CIN,livib001
6106,20071106, Dodgers,Chin-Hui Tsao,0,LAN,
6140,20080221, Reds,Bobby Livingston,60,CIN,livib001
6141,20080313, Red Sox,Curt Schilling,60,BOS,schic002
6142,20080315, Yankees,Andrew Brackman,60,NYA,braca001
6143,20080317, Blue Jays,Casey Janssen,60,TOR,jansc001
6144,20080319, Astros,Felipe Paulino Del Guidice,15,HOU,
6145,20080320, Brewers,Randy Choate,15,MIL,choar001
6146,20080320, Nationals,Ryan Wagner,15,WAS,wagnr001
6147,20080320, Nationals,Shawn Hill (Richard),15,WAS,
6148,20080320, Nationals,Wily Mo Pena,15,WAS,penaw001
6149,20080321, Brewers,Yovani Gallardo,15,MIL,gally001
6150,20080322, Braves,Anthony Lerew,60,ATL,lerea001
6151,20080322, Braves,Michael Gonzalez,15,ATL,
6152,20080322, Braves,Omar Infante,15,ATL,infao001
6153,20080322, Phillies,Francisco Rosario,15,PHI,
